,Transition
original_shape_Flatness,0.135330853155046
original_shape_LeastAxisLength,0.03477837257748188
original_shape_MajorAxisLength,-0.16632469877266406
original_shape_Maximum2DDiameterColumn,-0.1553910496179761
original_shape_Maximum2DDiameterRow,-0.1184471399830565
original_shape_Maximum2DDiameterSlice,-0.1374621622507934
original_shape_Maximum3DDiameter,-0.09129522204280212
original_shape_MeshVolume,-0.5043385937785893
original_shape_MinorAxisLength,-0.18808916010753154
original_shape_Sphericity,-0.49519789098130773
original_shape_SurfaceArea,-0.3243225967788597
original_shape_SurfaceVolumeRatio,0.5575469755994956
original_shape_VoxelVolume,-0.5033051300182108
original_firstorder_10Percentile,-0.48537378930132313
original_firstorder_90Percentile,-0.1386689346456473
original_firstorder_Energy,-0.5458223951228341
original_firstorder_Entropy,0.40379020740923155
original_firstorder_InterquartileRange,0.4656984922912737
original_firstorder_Kurtosis,-0.11644954243450191
original_firstorder_Maximum,0.03625422664577283
original_firstorder_MeanAbsoluteDeviation,0.46334402227180566
original_firstorder_Mean,-0.4071182039432059
original_firstorder_Median,-0.2872257382693376
original_firstorder_Minimum,-0.20967679806637465
original_firstorder_Range,0.17648571944527738
original_firstorder_RobustMeanAbsoluteDeviation,0.4763123604363291
original_firstorder_RootMeanSquared,-0.37172953139302195
original_firstorder_Skewness,-0.2792091281312932
original_firstorder_TotalEnergy,-0.5458223951228341
original_firstorder_Uniformity,-0.24333923736735188
original_firstorder_Variance,0.4264343347488744
original_glcm_Autocorrelation,-0.11101788996384299
original_glcm_ClusterProminence,0.334606873091348
original_glcm_ClusterShade,-0.3501857110913842
original_glcm_ClusterTendency,0.34219699846487195
original_glcm_Contrast,0.3657678054297073
original_glcm_Correlation,0.2730393301236689
original_glcm_DifferenceAverage,0.3169630008447318
original_glcm_DifferenceEntropy,0.38899877030095953
original_glcm_DifferenceVariance,0.4070140018534873
original_glcm_Id,-0.289466667432173
original_glcm_Idm,-0.3010848466354809
original_glcm_Idmn,-0.2439007289357293
original_glcm_Idn,-0.2703370492032737
original_glcm_Imc1,-0.25304950690897143
original_glcm_Imc2,0.30730043410345176
original_glcm_InverseVariance,0.22676409523102187
original_glcm_JointAverage,-0.10363736518550146
original_glcm_JointEnergy,-0.18013390532471865
original_glcm_JointEntropy,0.37551810308824746
original_glcm_MCC,0.30063405429861106
original_glcm_MaximumProbability,-0.09151378579799674
original_glcm_SumAverage,-0.10363736518550146
original_glcm_SumEntropy,0.36224770789272176
original_glcm_SumSquares,0.3542373399450444
original_gldm_DependenceEntropy,0.3076573427224172
